		 Exam Report
Question	 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 
Answer		 a  b  c  c  d  a  a  a  b  b  d  b  d  a  c  d  d  a  b  b 


ID	Score(%)
111	85
231	90
123	95
213	90
103	95
205	100
124	95
224	100
125	100
623	95
127	85
128	95
330	90
948	90
512	95
369	85
274	95
235	85
412	80
411	90
347	90
310	90
375	90
628	70
655	80
852	75
869	100
526	85
591	80
777	40


Question	 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 
Answer		 9  2  4  8  3  6  3  5  1  3  5  4  1  1  1  4  0  0  1 12 
